title,year,rating,actors,duration,url
Night of the Living Dead,1968,7.9,"['Duane Jones', ' Judith ODea', ' Karl Hardman', ' Marilyn Eastman']",96,https://www.imdb.com/title/tt0063350/
Easy Rider,1969,7.3,"['Peter Fonda', ' Dennis Hopper', ' Jack Nicholson', ' Antonio Mendoza']",95,https://www.imdb.com/title/tt0064276/
The Italian Job,1969,7.3,"['Michael Caine', ' Noël Coward', ' Benny Hill', ' Raf Vallone']",99,https://www.imdb.com/title/tt0064505/
Pak de poen en smeer 'm,1969,7.3,"['Woody Allen', ' Janet Margolin', ' Marcel Hillaire', ' Jacquelyn Hyde']",85,https://www.imdb.com/title/tt0065063/
The Passion of Anna,1969,7.7,"['Liv Ullmann', ' Bibi Andersson', ' Max von Sydow', ' Erland Josephson']",101,https://www.imdb.com/title/tt0064793/
The Wild Bunch,1969,7.9,"['William Holden', ' Ernest Borgnine', ' Robert Ryan', ' Edmond OBrien']",145,https://www.imdb.com/title/tt0065214/
El Topo,1970,7.4,"['Alejandro Jodorowsky', ' Brontis Jodorowsky', ' José Legarreta', ' Alfonso Arau']",125,https://www.imdb.com/title/tt0067866/
Beloe solntse pustyni,1970,7.8,"['Anatoliy Kuznetsov', ' Pavel Luspekayev', ' Spartak Mishulin', ' Kakhi Kavsadze']",84,https://www.imdb.com/title/tt0066565/
Little Big Man,1970,7.6,"['Dustin Hoffman', ' Faye Dunaway', ' Chief Dan George', ' Martin Balsam']",139,https://www.imdb.com/title/tt0065988/
Kelly's Heroes,1970,7.6,"['Clint Eastwood', ' Telly Savalas', ' Don Rickles', ' Carroll OConnor']",144,https://www.imdb.com/title/tt0065938/
Patton,1970,7.9,"['George C Scott', ' Karl Malden', ' Stephen Young', ' Michael Strong']",172,https://www.imdb.com/title/tt0066206/
Get Carter,1971,7.4,"['Michael Caine', ' Ian Hendry', ' Britt Ekland', ' John Osborne']",112,https://www.imdb.com/title/tt0067128/
The Tragedy of Macbeth,1971,7.4,"['Jon Finch', ' Francesca Annis', ' Martin Shaw', ' Terence Bayler']",140,https://www.imdb.com/title/tt0067372/
Straw Dogs,1971,7.5,"['Dustin Hoffman', ' Susan George', ' Peter Vaughan', ' TP McKenna']",113,https://www.imdb.com/title/tt0067800/
A New Leaf,1971,7.4,"['Walter Matthau', ' Elaine May', ' Jack Weston', ' George Rose']",102,https://www.imdb.com/title/tt0067482/
Harold and Maude,1971,7.9,"['Ruth Gordon', ' Bud Cort', ' Vivian Pickles', ' Cyril Cusack']",91,https://www.imdb.com/title/tt0067185/
The Way of the Dragon,1972,7.3,"['Bruce Lee', ' Chuck Norris', ' Nora Miao', ' PingOu Wei']",99,https://www.imdb.com/title/tt0068935/
"What's Up, Doc?",1972,7.7,"['Barbra Streisand', ' Ryan ONeal', ' Madeline Kahn', ' Kenneth Mars']",94,https://www.imdb.com/title/tt0069495/
Deliverance,1972,7.7,"['Jon Voight', ' Burt Reynolds', ' Ned Beatty', ' Ronny Cox']",109,https://www.imdb.com/title/tt0068473/
Die bitteren Tränen der Petra von Kant,1972,7.7,"['Margit Carstensen', ' Hanna Schygulla', ' Katrin Schaake', ' Eva Mattes']",124,https://www.imdb.com/title/tt0068278/
"L'amour, l'après-midi",1972,7.7,"['Bernard Verley', ' Zouzou', ' Françoise Verley', ' Daniel Ceccaldi']",97,https://www.imdb.com/title/tt0068205/
O Lucky Man!,1973,7.7,"['Malcolm McDowell', ' Ralph Richardson', ' Rachel Roberts', ' Arthur Lowe']",178,https://www.imdb.com/title/tt0070464/
Scarecrow,1973,7.3,"['Gene Hackman', ' Al Pacino', ' Dorothy Tristan', ' Ann Wedgeworth']",112,https://www.imdb.com/title/tt0070643/
Pat Garrett & Billy the Kid,1973,7.3,"['James Coburn', ' Kris Kristofferson', ' Richard Jaeckel', ' Katy Jurado']",122,https://www.imdb.com/title/tt0070518/
Jesus Christ Superstar,1973,7.4,"['Ted Neeley', ' Carl Anderson', ' Yvonne Elliman', ' Barry Dennen']",106,https://www.imdb.com/title/tt0070239/
Emperor of the North Pole,1973,7.3,"['Lee Marvin', ' Ernest Borgnine', ' Keith Carradine', ' Charles Tyner']",118,https://www.imdb.com/title/tt0070030/
"Watch Out, We're Mad",1974,7.4,"['Terence Hill', ' Bud Spencer', ' Patty Shepard', ' Deogratias Huerta']",102,https://www.imdb.com/title/tt0069697/
Lacombe Lucien,1974,7.7,"['Pierre Blaise', ' Aurore Clément', ' Holger Löwenadler', ' Therese Giehse']",138,https://www.imdb.com/title/tt0071733/
Alice Doesn't Live Here Anymore,1974,7.3,"['Ellen Burstyn', ' Kris Kristofferson', ' Mia Bendixsen', ' Alfred Lutter III']",112,https://www.imdb.com/title/tt0071115/
The Front Page,1974,7.3,"['Jack Lemmon', ' Walter Matthau', ' Susan Sarandon', ' Vincent Gardenia']",105,https://www.imdb.com/title/tt0071524/
Murder on the Orient Express,1974,7.3,"['Albert Finney', ' Lauren Bacall', ' Ingrid Bergman', ' Sean Connery']",128,https://www.imdb.com/title/tt0071877/
"Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles",1975,7.8,"['Delphine Seyrig', ' Jan Decorte', ' Henri Storck', ' Jacques DoniolValcroze']",202,https://www.imdb.com/title/tt0073198/
Fantozzi,1975,7.9,"['Paolo Villaggio', ' Anna Mazzamauro', ' Gigi Reder', ' Giuseppe Anatrelli']",108,https://www.imdb.com/title/tt0071486/
The Man Who Would Be King,1975,7.8,"['Sean Connery', ' Michael Caine', ' Christopher Plummer', ' Saeed Jaffrey']",129,https://www.imdb.com/title/tt0073341/
Zeven schoonheden,1975,7.8,"['Giancarlo Giannini', ' Fernando Rey', ' Shirley Stoler', ' Elena Fiore']",116,https://www.imdb.com/title/tt0075040/
Nashville,1975,7.7,"['Keith Carradine', ' Karen Black', ' Ronee Blakley', ' Shelley Duvall']",160,https://www.imdb.com/title/tt0073440/
